country1,Peppermint oil, Headache, Apply diluted oil to temples and massage, Health food stores or online, Head pain,1,1
country1,Peppermint oil, Headache, Apply diluted oil to temples and massage, Health food stores or online, sensitivity to light or sound,1,1
country1,Ginger, Nausea, Chew on raw ginger or drink ginger tea, Grocery stores, Feeling of sickness or discomfort in stomach,2,0
country1,Eucalyptus oil, Congestion, Inhale steam with a few drops of oil, Health food stores or online, Blocked or runny nose,1,1
country1,Eucalyptus oil, Congestion, Inhale steam with a few drops of oil, Health food stores or online, difficulty breathing,1,1
country1,Eucalyptus oil, Congestion, Inhale steam with a few drops of oil, Health food stores or online, Blocked or runny nose,2,1
country1,Eucalyptus oil, Congestion, Inhale steam with a few drops of oil, Health food stores or online, difficulty breathing,2,1
country1,Honey, Sore throat, Mix with warm water or tea and gargle, Grocery stores, Pain or irritation in throat,1,1
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, Redness,1,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, pain,1,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, heat sensation on skin,1,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, Redness,2,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, pain,2,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, heat sensation on skin,2,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, Redness,3,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, pain,3,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, heat sensation on skin,3,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, Redness,4,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, pain,4,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, heat sensation on skin,4,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, Redness,5,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, pain,5,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, heat sensation on skin,5,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, Redness,6,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, pain,6,0
country1,Aloe vera, Sunburn, Apply gel directly to affected skin, Plant (if fresh) or in health stores as gel, heat sensation on skin,6,0
country1,Chamomile tea, Insomnia, Drink tea before bedtime, Grocery stores or health food stores, Difficulty falling asleep or staying asleep,1,1
country1,Garlic, Cold, Consume raw or in meals, Grocery stores, Runny or stuffy nose,1,1
country1,Garlic, Cold, Consume raw or in meals, Grocery stores, coughing,1,1
country1,Lavender oil, Stress or anxiety, Diffuse oil or apply to pulse points, Health food stores or online, Feelings of worry,1,0
country1,Lavender oil, Stress or anxiety, Diffuse oil or apply to pulse points, Health food stores or online, tension,1,0
country1,Lavender oil, Stress or anxiety, Diffuse oil or apply to pulse points, Health food stores or online, or nervousness,1,0
country1,Apple cider vinegar, Acid reflux, Mix with water and drink before meals, Grocery stores, Heartburn,2,1
country1,Apple cider vinegar, Acid reflux, Mix with water and drink before meals, Grocery stores, regurgitation of acid into throat,2,1
country1,Tea tree oil, Acne, Apply diluted oil to affected skin, Health food stores or online, Pimples,1,1
country1,Tea tree oil, Acne, Apply diluted oil to affected skin, Health food stores or online, Pimples,2,1
country1,Tea tree oil, Acne, Apply diluted oil to affected skin, Health food stores or online, Pimples,2,1
country1,Tea tree oil, Acne, Apply diluted oil to affected skin, Health food stores or online, blackheads,1,0
country1,Tea tree oil, Acne, Apply diluted oil to affected skin, Health food stores or online, blackheads,2,0
country1,Tea tree oil, Acne, Apply diluted oil to affected skin, Health food stores or online, blackheads,2,0
country1,Tea tree oil, Acne, Apply diluted oil to affected skin, Health food stores or online, oily skin,1,0
country1,Tea tree oil, Acne, Apply diluted oil to affected skin, Health food stores or online, oily skin,2,0
country1,Tea tree oil, Acne, Apply diluted oil to affected skin, Health food stores or online, oily skin,2,0
country1,Chamomile, Digestive issues, Drink as tea after meals, Health food stores or online, Bloating,2,1
country1,Chamomile, Digestive issues, Drink as tea after meals, Health food stores or online, gas,2,1
country1,Chamomile, Digestive issues, Drink as tea after meals, Health food stores or online, indigestion,2,1
